Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,file,Mean,Error,StdDev,Scaled,ScaledSD
FParsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,05.feature-pieces,"80,514.7 us","1,604.85 us","3,205.05 us",1.00,0.00
Attoparsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,05.feature-pieces,"1,389,026.1 us","26,654.33 us","28,519.83 us",17.28,0.77
FParsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,numbers,572.9 us,11.36 us,27.21 us,1.00,0.00
Attoparsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,numbers,NA,NA,NA,?,?
FParsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,twitter100,"2,468.7 us",48.31 us,72.31 us,1.00,0.00
Attoparsec,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,twitter100,"65,116.2 us","1,244.52 us","1,383.28 us",26.40,0.94
